genes EntrezGene logFC logCPM LR PValue FDR
ENSG00000188869.12 ENSG00000188869.12 TMC3 -2.85616067686326 0.171686570638358 55.3857963398888 9.90495832298136e-14 3.12491530131739e-09
ENSG00000210140.1 ENSG00000210140.1 MT-TC -3.50285884232519 -0.348921493957055 40.1944740629532 2.29897625917894e-10 3.62652010004182e-06
ENSG00000197406.7 ENSG00000197406.7 DIO3 -3.25882930929181 2.46645457751308 37.7199922625356 8.1663313106175e-10 8.58798621728906e-06
ENSG00000169245.5 ENSG00000169245.5 CXCL10 -2.46770022460403 1.67616285739893 37.0521051047899 1.15014344017364e-09 9.07146884850957e-06
ENSG00000091137.11 ENSG00000091137.11 SLC26A4 -2.08970383596407 -1.1354025496944 34.2022585269278 4.96712723898559e-09 3.13415794525513e-05
ENSG00000162366.7 ENSG00000162366.7 PDZK1IP1 2.07189121248025 1.78611845535059 33.2493945179898 8.10649914463832e-09 4.2625323585699e-05
ENSG00000108244.16 ENSG00000108244.16 KRT23 2.28032876350595 0.208863723261928 31.3294427878565 2.17752176338168e-08 8.07375023255996e-05
ENSG00000224982.3 ENSG00000224982.3 TMEM233 -2.08123414349471 0.098550697187577 31.3152592105846 2.19348818304999e-08 8.07375023255996e-05
ENSG00000134321.11 ENSG00000134321.11 RSAD2 -1.73869798709633 1.62460110542455 31.0311913237347 2.53914968476311e-08 8.07375023255996e-05
ENSG00000196581.10 ENSG00000196581.10 AJAP1 1.60386356474801 -0.299984870766565 31.0159898208146 2.55911446719704e-08 8.07375023255996e-05
ENSG00000105664.10 ENSG00000105664.10 COMP 2.38901156499299 -0.72855509382966 30.2384398029137 3.82061667472139e-08 0.000109578759518896
ENSG00000187608.8 ENSG00000187608.8 ISG15 -1.69828768654021 4.99751208025815 30.0399512116727 4.23236066512677e-08 0.000111272288853404
ENSG00000076716.8 ENSG00000076716.8 GPC4 1.15117271052839 1.67452724518717 27.9011199303457 1.2767584687914e-07 0.000301728255398065
ENSG00000168453.14 ENSG00000168453.14 HR 1.74525498833364 0.912322804030746 27.8091242299959 1.33893168581347e-07 0.000301728255398065
ENSG00000126709.14 ENSG00000126709.14 IFI6 -1.70201128074472 5.53242970045577 27.2863109439647 1.75449136034727e-07 0.000369016319517306
ENSG00000102452.15 ENSG00000102452.15 NALCN 1.34005357225699 0.0370613306372048 26.8422577652451 2.20756969129793e-07 0.000435291351192241
ENSG00000163171.7 ENSG00000163171.7 CDC42EP3 0.769664445017702 2.9046271533831 25.7800954570187 3.82614019868084e-07 0.000655101423553259
ENSG00000138131.3 ENSG00000138131.3 LOXL4 1.99817132854022 3.82383923934328 25.7377859668713 3.91094290575884e-07 0.000655101423553259
ENSG00000149043.16 ENSG00000149043.16 SYT8 1.97737180906609 -0.127455974353664 25.7209213289205 3.94526832784302e-07 0.000655101423553259
ENSG00000150938.9 ENSG00000150938.9 CRIM1 0.999346954098414 4.23312352382259 25.4159077248867 4.62091919546817e-07 0.000728926898489126
ENSG00000189423.11 ENSG00000189423.11 USP32P3 1.17370451323412 -2.68848771553294 25.139916200997 5.33177216615603e-07 0.000787984173597748
ENSG00000117525.13 ENSG00000117525.13 F3 1.20932503204315 2.46485990834841 25.0473312117551 5.59401272143076e-07 0.000787984173597748
ENSG00000165949.12 ENSG00000165949.12 IFI27 -1.83014518875263 5.08382125462742 24.9961135675148 5.74459919260459e-07 0.000787984173597748
ENSG00000206538.8 ENSG00000206538.8 VGLL3 1.33694978354891 1.26943105873918 24.8837650409233 6.08930825077748e-07 0.000800464941682411
ENSG00000115380.19 ENSG00000115380.19 EFEMP1 1.32465532212327 4.0951065797882 24.7300622206022 6.59474718205308e-07 0.00083223071538637
ENSG00000174348.13 ENSG00000174348.13 PODN 1.04022841007774 3.76398813335218 24.5287311331674 7.32099967464275e-07 0.000888346995135785
ENSG00000181234.9 ENSG00000181234.9 TMEM132C 1.99621552294385 -1.4682005853328 24.4272866673769 7.71679337328736e-07 0.00090169301531053
ENSG00000015413.9 ENSG00000015413.9 DPEP1 1.61964571574268 -1.21417226287788 24.1070235971067 9.11273164104165e-07 0.00102677703765437
ENSG00000084636.17 ENSG00000084636.17 COL16A1 1.09716337975892 2.85394374262987 23.9307388948802 9.98644207942037e-07 0.00108642159021942
ENSG00000182230.11 ENSG00000182230.11 FAM153B 1.65890314348086 0.191555574711476 23.6293631700025 1.16791694346161e-06 0.00122822038830901
ENSG00000161249.20 ENSG00000161249.20 DMKN 1.42404380370019 1.60462375914376 23.4477038486486 1.28355830994739e-06 0.00128051355939821
ENSG00000006016.10 ENSG00000006016.10 CRLF1 1.60107877993857 0.687129887912282 23.4249667064109 1.29881878667288e-06 0.00128051355939821
ENSG00000189001.10 ENSG00000189001.10 SBSN 2.12425063395771 0.449387065501652 23.3542161215556 1.34747835425306e-06 0.0012820035253692
ENSG00000088340.15 ENSG00000088340.15 FER1L4 1.4404050265202 1.76319731942368 23.2131640952865 1.45001347678965e-06 0.0012820035253692
ENSG00000119681.11 ENSG00000119681.11 LTBP2 1.06225056471702 3.03745265691086 23.1395814053884 1.50657281752992e-06 0.0012820035253692
ENSG00000170522.9 ENSG00000170522.9 ELOVL6 -0.950794831505862 5.87228325022943 23.1389170236253 1.50709344731994e-06 0.0012820035253692
ENSG00000226145.7 ENSG00000226145.7 KRT16P6 -2.63980555739019 -2.18674164311891 23.1170208147925 1.52435333534325e-06 0.0012820035253692
ENSG00000122870.11 ENSG00000122870.11 BICC1 0.930646226673283 2.28568388391929 23.0922205650268 1.54414193679767e-06 0.0012820035253692
ENSG00000162194.12 ENSG00000162194.12 LBHD1 -1.08689108897771 2.04960971546284 22.9874918137783 1.63058877439356e-06 0.00131906269854724
ENSG00000188783.5 ENSG00000188783.5 PRELP 1.02353160365369 5.26187997311135 22.912037607633 1.69586491375971e-06 0.00133757105410513
ENSG00000178776.4 ENSG00000178776.4 C5orf46 2.47786932300381 -2.89646618777527 22.8359869439637 1.76430993244081e-06 0.00135761497703841
ENSG00000129354.11 ENSG00000129354.11 AP1M2 1.2733794879933 -0.040546526434933 22.7459523141768 1.84893171610375e-06 0.00136957882456025
ENSG00000163531.15 ENSG00000163531.15 NFASC 1.12036723226067 4.27278401391761 22.7275937700469 1.86668006770708e-06 0.00136957882456025
ENSG00000262655.3 ENSG00000262655.3 SPON1 0.957035418815866 2.17707703517015 22.6756607565969 1.91781794734857e-06 0.00137511905502045
ENSG00000183908.5 ENSG00000183908.5 LRRC55 -1.69713213579476 0.331181219066963 22.6157405344016 1.97856944063933e-06 0.00138715305072734
ENSG00000106624.10 ENSG00000106624.10 AEBP1 0.9754499700247 5.78451866835537 22.3045511030006 2.32654562777314e-06 0.00158228851133914
ENSG00000244682.7 ENSG00000244682.7 FCGR2C 1.21169116988963 1.29606527053268 22.2794084587587 2.35720815344193e-06 0.00158228851133914
ENSG00000104435.13 ENSG00000104435.13 STMN2 1.64695467283418 -0.70661428069879 22.1294271686062 2.54872674196453e-06 0.00164101591800488
ENSG00000104728.15 ENSG00000104728.15 ARHGEF10 0.654897148064084 2.62463585922533 22.0189093391714 2.69977513401281e-06 0.0017035041140594
ENSG00000166145.14 ENSG00000166145.14 SPINT1 1.0578450979135 2.25530711644905 21.7410837158128 3.12036721201514e-06 0.0019302836308209
ENSG00000164176.12 ENSG00000164176.12 EDIL3 1.24876316151972 -0.195361857144953 21.6997593395945 3.18831277895489e-06 0.00193438615121631
ENSG00000162069.14 ENSG00000162069.14 BICDL2 0.963352114501846 0.533074676663278 21.6375633901466 3.29338437343561e-06 0.0019604336527834
ENSG00000130822.15 ENSG00000130822.15 PNCK 2.43914257500814 -1.27185182795996 21.4677340384966 3.59832669930114e-06 0.00208687592152781
ENSG00000136237.18 ENSG00000136237.18 RAPGEF5 0.633441267414711 4.82439433510049 21.4466597239098 3.63809235424355e-06 0.00208687592152781
ENSG00000135114.12 ENSG00000135114.12 OASL -1.334970375962 3.48843022002907 21.1825370422512 4.17551775577527e-06 0.00235238231565989
ENSG00000108684.14 ENSG00000108684.14 ASIC2 2.77765847211768 -3.0642643703492 21.0056666249951 4.57926969086156e-06 0.00247975791579552
ENSG00000137959.15 ENSG00000137959.15 IFI44L -1.58563616538966 2.75000464399603 20.9944939126716 4.60605208131913e-06 0.00247975791579552
ENSG00000115641.18 ENSG00000115641.18 FHL2 1.08519884678063 3.88805470094164 20.9814941015544 4.63741218523362e-06 0.00247975791579552
ENSG00000213626.11 ENSG00000213626.11 LBH 0.845738229148854 4.20543334274432 20.8231732977144 5.0369810010463e-06 0.0026485285600335
ENSG00000112562.18 ENSG00000112562.18 SMOC2 1.13900885236053 2.12218970262041 20.7883046788656 5.12952547432045e-06 0.00265297375720223
ENSG00000133937.4 ENSG00000133937.4 GSC -1.77772308403194 -2.92851844761742 20.7490840405102 5.23566157431403e-06 0.00266419172593602
ENSG00000128262.8 ENSG00000128262.8 POM121L9P 1.07787393603068 0.661914190667774 20.4753552487355 6.04040182632759e-06 0.00302489900347316
ENSG00000162614.18 ENSG00000162614.18 NEXN 0.925432261687926 2.17985408535314 20.2684921116843 6.72998094924259e-06 0.0033175651401196
ENSG00000131069.19 ENSG00000131069.19 ACSS2 -1.04160033012391 6.8085600944261 20.18608791606 7.02620771890608e-06 0.00341030503575028
ENSG00000134780.9 ENSG00000134780.9 DAGLA 1.10793708438799 1.14698862773348 20.0101642109466 7.70316146475289e-06 0.00359876051388317
ENSG00000138615.5 ENSG00000138615.5 CILP 0.911584485930682 1.68447464553907 20.0002784143967 7.74308894753589e-06 0.00359876051388317
ENSG00000157168.18 ENSG00000157168.18 NRG1 1.25920345982763 3.0667396223721 19.9856543436772 7.8025350396976e-06 0.00359876051388317
ENSG00000138119.16 ENSG00000138119.16 MYOF 0.997723081356625 3.01132145593086 19.9385075720792 7.99732180892547e-06 0.00359876051388317
ENSG00000211678.2 ENSG00000211678.2 IGLJ3 1.30480975290996 -2.1058127355292 19.9187377756809 8.08044652017167e-06 0.00359876051388317
ENSG00000215399.2 ENSG00000215399.2 HMGB3P7 1.97659780627918 -3.5393154448284 19.9130656829715 8.10445531989687e-06 0.00359876051388317
ENSG00000071282.11 ENSG00000071282.11 LMCD1 0.981282422638424 3.02071602213266 19.8876394163057 8.21296259785059e-06 0.00359876051388317
ENSG00000102109.8 ENSG00000102109.8 PCSK1N 1.41280182185046 -1.38676251512487 19.8143898786729 8.5337796476243e-06 0.00364177251556513
ENSG00000137266.14 ENSG00000137266.14 SLC22A23 -0.548663900590053 5.12087924268197 19.8125523059523 8.54198757969569e-06 0.00364177251556513
ENSG00000072952.18 ENSG00000072952.18 MRVI1 0.824121477880917 2.27266730838281 19.7371500684469 8.88571314165825e-06 0.00373780485208235
ENSG00000157601.13 ENSG00000157601.13 MX1 -1.08858848005556 4.78756996126023 19.6852342432442 9.13041423694815e-06 0.0037424495883653
ENSG00000154319.14 ENSG00000154319.14 FAM167A 1.50489731130955 -0.288208611964266 19.6447506199587 9.32591656122795e-06 0.0037424495883653
ENSG00000109084.13 ENSG00000109084.13 TMEM97 -0.912731565386662 5.70403944315082 19.6411561765581 9.34347659118186e-06 0.0037424495883653
ENSG00000198846.5 ENSG00000198846.5 TOX 1.33582586427999 1.13346046095165 19.6354852487243 9.3712484541779e-06 0.0037424495883653
ENSG00000134627.11 ENSG00000134627.11 PIWIL4 0.700317860044957 0.099817783028336 19.4368345923994 1.03982129469367e-05 0.00410066525328634
ENSG00000169248.12 ENSG00000169248.12 CXCL11 -2.03434242649651 -1.86567674109497 19.3477075152887 1.08949964515558e-05 0.00424353386481647
ENSG00000182534.13 ENSG00000182534.13 MXRA7 0.703185903987038 4.10803327577234 19.2942588463547 1.12042740923404e-05 0.0043107761382835
ENSG00000140057.8 ENSG00000140057.8 AK7 -0.916017256623727 0.686780078237378 19.2337036685234 1.15653399232809e-05 0.00439608324385048
ENSG00000206190.11 ENSG00000206190.11 ATP10A 0.828321520316833 0.590789459903225 19.1949416270688 1.18025726376961e-05 0.00440872340208124
ENSG00000270906.1 ENSG00000270906.1 MTND4P35 1.3892121048674 -0.653911070374185 19.1827685711682 1.18780782014297e-05 0.00440872340208124
ENSG00000109610.5 ENSG00000109610.5 SOD3 0.91828477029682 3.35002656066408 19.1230577321393 1.22555300166399e-05 0.00449592693598806
ENSG00000050555.17 ENSG00000050555.17 LAMC3 0.919484455242426 3.94669345662179 19.0612962482632 1.26586234380541e-05 0.00459042426261113
ENSG00000122176.10 ENSG00000122176.10 FMOD 0.882389849602059 3.78225033057414 19.0269945083657 1.28882212642582e-05 0.00462057378029639
